ACCESS,AU,PROJ,SID,START,STOP,ACTIVE,NWELLS,ACWELLS
1, 8, 8, 13201, 1988, 0, 1, 1, 1
2, 21, 8, 13201, 0, 0, 0, 0, 0
3, 21, 8, 13201, 0, 0, 0, 0, 0
4, 21, 8, 12366, 1928, 1928, 0, 0, 0
5, 21, 8, 13201, 1925, 1925, 0, 1, 0
6, 19, 8, 15680, 1990, 0, 1, 2, 1
7, 21, 8, 15680, 0, 0, 0, 0, 0
8, 21, 8, 15680, 1965, 1965, 0, 1, 0
9, 25, 8, 15680, 1978, 0, 1, 3, 1
10, 8, 8, 15680, 1993, 0, 1, 1, 1
11, 8, 8, 15680, 2001, 0, 1, 1, 1
12, 8, 8, 15680, 1961, 2012, 0, 1, 0
13, 19, 8, 15680, 1996, 2010, 0, 0, 0
14, 21, 8, 15680, 1964, 0, 1, 2, 2
15, 19, 9, 23787, 1964, 0, 1, 2, 1
16, 19, 9, 23787, 1989, 0, 1, 1, 1
17, 19, 9, 23787, 1963, 2010, 0, 0, 0
18, 8, 9, 23787, 1961, 2014, 0, 1, 0
19, 19, 9, 23787, 1963, 0, 1, 1, 1
20, 21, 9, 23787, 0, 0, 0, 0, 0
21, 8, 9, 23787, 0, 0, 0, 0, 0
22, 21, 9, 23787, 0, 0, 0, 0, 0
23, 21, 9, 23787, 1924, 1924, 0, 1, 0
24, 19, 9, 23787, 1963, 0, 1, 2, 1
25, 21, 9, 23787, 0, 0, 0, 0, 0
26, 21, 9, 23787, 0, 0, 0, 0, 0
27, 19, 9, 23787, 1963, 2003, 0, 1, 0
28, 19, 9, 23787, 0, 0, 0, 0, 0
29, 19, 9, 23787, 1963, 1964, 0, 1, 0
30, 8, 9, 23787, 1961, 2014, 0, 1, 0
31, 21, 9, 23787, 0, 0, 0, 0, 0
32, 8, 9, 23787, 1979, 0, 1, 1, 1
33, 21, 9, 23787, 1993, 0, 1, 2, 1
34, 8, 8, 15680, 1990, 0, 1, 1, 1
35, 19, 8, 15680, 2003, 0, 1, 1, 1
36, 21, 8, 14867, 0, 0, 0, 0, 0
37, 21, 8, 14867, 0, 0, 0, 0, 0
38, 8, 8, 14867, 1962, 1962, 0, 1, 0
39, 21, 8, 14867, 0, 0, 0, 0, 0
40, 8, 8, 14867, 1962, 2010, 0, 2, 0
41, 21, 8, 15680, 0, 0, 0, 0, 0
42, 21, 8, 14867, 0, 0, 0, 0, 0
43, 21, 8, 14867, 1962, 0, 1, 2, 1
44, 21, 8, 14867, 1962, 1987, 0, 1, 0
45, 21, 8, 14867, 1963, 2010, 0, 2, 0
46, 21, 8, 14867, 0, 0, 0, 0, 0
47, 21, 8, 14867, 0, 0, 0, 0, 0
48, 8, 8, 14867, 1962, 0, 1, 4, 4
49, 19, 9, 23787, 1995, 2010, 0, 0, 0
50, 21, 9, 23787, 0, 0, 0, 0, 0
51, 19, 9, 23787, 1963, 0, 1, 2, 2
52, 19, 9, 23787, 1963, 0, 1, 2, 1
53, 21, 9, 23787, 1924, 0, 1, 3, 1
54, 21, 9, 9834, 1993, 0, 1, 1, 1
55, 21, 9, 9834, 0, 0, 0, 0, 0
56, 8, 9, 9834, 1993, 0, 1, 1, 1
57, 21, 9, 23787, 1928, 1928, 0, 0, 0
58, 19, 9, 9834, 1963, 2013, 0, 0, 0
59, 19, 9, 18912, 1961, 0, 1, 2, 1
60, 19, 9, 9834, 1997, 0, 1, 1, 1
61, 21, 9, 9834, 1963, 1963, 0, 1, 0
62, 8, 9, 9834, 2006, 0, 1, 1, 1
63, 8, 9, 9834, 2004, 0, 1, 1, 1
64, 8, 9, 30211, 2001, 0, 1, 2, 2
65, 8, 9, 30211, 1993, 0, 1, 2, 2
66, 21, 9, 23787, 1994, 0, 1, 1, 1
67, 21, 9, 24592, 1962, 0, 1, 2, 1
68, 8, 9, 24592, 2006, 0, 1, 1, 1
69, 21, 9, 24592, 0, 0, 0, 0, 0
70, 8, 9, 24592, 1961, 2013, 0, 1, 0
71, 8, 9, 24592, 0, 0, 0, 0, 0
72, 21, 9, 24592, 1964, 1989, 0, 0, 0
73, 21, 9, 24592, 1964, 1989, 0, 1, 0
74, 21, 9, 24592, 0, 0, 0, 0, 0
75, 21, 9, 24592, 1924, 1926, 0, 2, 0
76, 21, 9, 24592, 0, 0, 0, 0, 0
77, 21, 9, 24592, 1963, 1989, 0, 0, 0
78, 21, 9, 23787, 0, 0, 0, 0, 0
79, 21, 9, 23787, 1919, 1919, 0, 1, 0
80, 21, 9, 9834, 1978, 1978, 0, 1, 0
81, 21, 9, 9834, 0, 0, 0, 0, 0
82, 8, 9, 9834, 1962, 2013, 0, 1, 0
83, 8, 9, 9834, 1963, 1963, 0, 1, 0
84, 8, 9, 9834, 1994, 2012, 0, 1, 0
85, 8, 9, 9834, 1993, 0, 1, 1, 1
86, 8, 9, 9834, 2004, 0, 1, 1, 1
87, 19, 9, 18912, 1963, 0, 1, 1, 1
88, 19, 9, 18912, 1997, 0, 1, 0, 0
89, 8, 9, 9834, 1993, 0, 1, 1, 1
90, 8, 9, 9834, 2004, 0, 1, 1, 1
91, 8, 9, 9834, 1993, 0, 1, 1, 1
92, 8, 9, 9834, 2004, 2014, 0, 1, 0
93, 8, 9, 9834, 2002, 0, 1, 1, 1
94, 19, 9, 9834, 1963, 2009, 0, 1, 0
95, 8, 9, 9834, 1963, 0, 1, 1, 1
96, 21, 9, 9834, 1956, 1956, 0, 0, 0
97, 8, 9, 9834, 1961, 2013, 0, 1, 0
98, 8, 9, 9834, 1990, 0, 1, 1, 1
99, 8, 9, 18912, 1927, 0, 1, 2, 1
100, 19, 9, 1450, 0, 0, 0, 0, 0
101, 8, 9, 9834, 1927, 0, 1, 4, 2
102, 21, 9, 2287, 2008, 2010, 0, 0, 0
103, 8, 9, 2287, 2007, 0, 1, 2, 2
104, 19, 9, 1450, 2008, 0, 1, 2, 2
105, 8, 9, 2287, 1961, 2013, 0, 1, 0
106, 8, 9, 2287, 1997, 0, 1, 1, 1
